Austria,Vienna,84146,83879
Belgium,Brussels,110070,30528
Denmark,Copenhagen,55642,42915
Finland,Helsinki,53884,338424
France,Paris,658218,643801
Germany,Berlin,817996,357168
Greece,Athens,108151,131957
Iceland,Reykjav'k,3184,102775
Ireland,Dublin,45812,70273
Italy,Rome,606815,301338
Luxembourg,Luxembourg,5118,2586
Netherlands,Amsterdam,166996,41543
Norway,Oslo,49893,385178
Portugal,Lisbon,106477,92212
Spain,Madrid,460301,505990
Sweden,Stockholm,94155,450295
Switzerland,Bern,78665,41285
United Kingdom,London,622620,242495
